leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
1.83842,-0.103601,-0.108756,100000,100000,1.04838,0.242115,-0.00132095,0,0,0,1.03473,-0.427985,-0.0386302,0,0,0,0.310653,0.251836,-0.0668473,0,0,0,0.282675,-0.427078,-0.0346495,0,0,0,-0.342884,0.0170157,-0.0986849,0,0,0
1.83841,-0.103607,-0.108789,100000,100000,1.04838,0.242117,-0.00135627,0,0,0,1.03472,-0.427983,-0.0386447,0,0,0,0.310679,0.251836,-0.0669714,0,0,0,0.282624,-0.42706,-0.035825,0,0,0,-0.342872,0.0170823,-0.0996897,0,0,0
1.83841,-0.1036,-0.108768,100000,100000,1.04838,0.242118,-0.00136493,0,0,0,1.03474,-0.427979,-0.0384027,0,0,0,0.310652,0.251835,-0.0672418,0,0,0,0.282604,-0.427068,-0.0355842,0,0,0,-0.342895,0.0170023,-0.0983546,0,0,0
1.8384,-0.103614,-0.108851,100000,100000,1.04838,0.242124,-0.00127019,0,0,0,1.03473,-0.427981,-0.0385252,0,0,0,0.310633,0.251833,-0.067367,0,0,0,0.282651,-0.427075,-0.0350344,0,0,0,-0.342831,0.0170958,-0.100295,0,0,0
1.8384,-0.103612,-0.108843,100000,100000,1.04838,0.242124,-0.00127766,0,0,0,1.03473,-0.427973,-0.0384399,0,0,0,0.310636,0.251828,-0.0671746,0,0,0,0.282593,-0.427067,-0.0355007,0,0,0,-0.342843,0.0170897,-0.100088,0,0,0
1.83842,-0.103658,-0.108963,100000,100000,1.04838,0.242124,-0.0012188,0,0,0,1.03474,-0.427987,-0.0387353,0,0,0,0.310635,0.251827,-0.0671287,0,0,0,0.282626,-0.427102,-0.0350559,0,0,0,-0.342856,0.0170634,-0.0994731,0,0,0
1.83842,-0.103637,-0.108897,100000,100000,1.04838,0.242124,-0.0012538,0,0,0,1.03473,-0.427983,-0.0387278,0,0,0,0.310647,0.251828,-0.0669526,0,0,0,0.282558,-0.4271,-0.0355714,0,0,0,-0.342868,0.0170943,-0.0997422,0,0,0
