leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
-1.49526,0.92857,-2.35267,0,0,-0.923353,1.18955,-2.92181,0,0,0,-0.347768,1.31964,-2.99691,0,0,0,0.173899,1.50696,-2.76832,0,0,0,0.758676,1.60247,-3.11069,0,0,0,2.32605,0.50349,1.06888,0,0,0
-1.49526,0.928573,-2.35257,0,0,-0.923344,1.1895,-2.92235,0,0,0,-0.347719,1.31968,-2.99829,0,0,0,0.173906,1.50697,-2.76811,0,0,0,0.758697,1.60232,-3.11158,0,0,0,2.32622,0.503546,1.0685,0,0,0
-1.49526,0.928585,-2.35246,0,0,-0.923347,1.18953,-2.92202,0,0,0,-0.347662,1.31962,-2.99853,0,0,0,0.173918,1.50697,-2.7684,0,0,0,0.758732,1.60242,-3.11144,0,0,0,2.32617,0.503178,1.0694,0,0,0
-1.49526,0.92857,-2.35247,0,0,-0.923348,1.18954,-2.922,0,0,0,-0.347675,1.31957,-2.9986,0,0,0,0.173916,1.50697,-2.76843,0,0,0,0.758743,1.60239,-3.11198,0,0,0,2.32615,0.503208,1.0691,0,0,0
-1.49526,0.928574,-2.35253,0,0,-0.92335,1.18955,-2.92199,0,0,0,-0.347674,1.31961,-2.99858,0,0,0,0.173913,1.50697,-2.76852,0,0,0,0.758748,1.60244,-3.11167,0,0,0,2.32611,0.503275,1.06825,0,0,0
-1.49525,0.92856,-2.35249,0,0,-0.92333,1.18947,-2.92281,0,0,0,-0.347754,1.31971,-2.99799,0,0,0,0.1739,1.50698,-2.76802,0,0,0,0.758756,1.60236,-3.11231,0,0,0,2.32613,0.503313,1.0682,0,0,0
-1.49525,0.928599,-2.35273,0,0,-0.92333,1.18955,-2.92184,0,0,0,-0.347604,1.31966,-2.99937,0,0,0,0.173914,1.50697,-2.76825,0,0,0,0.758684,1.60252,-3.10971,0,0,0,2.32613,0.503387,1.06807,0,0,0
