leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
0.723504,1.72946,1.73674,0,0,0.323093,0.758545,1.59666,0,0,0,0.901512,0.816954,1.65148,0,0,0,0.308478,0.23333,1.69198,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534457,-0.24802,1.54553,0,0,0
0.723494,1.72969,1.73706,0,0,0.322574,0.758018,1.59886,0,0,0,0.901757,0.817054,1.65586,0,0,0,0.308445,0.233312,1.69291,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534056,-0.248593,1.53448,0,0,0
0.723469,1.7296,1.73705,0,0,0.322538,0.758009,1.5986,0,0,0,0.901627,0.816765,1.65571,0,0,0,0.30847,0.233364,1.69258,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534354,-0.248243,1.54303,0,0,0
0.723496,1.72945,1.73674,0,0,0.323017,0.758208,1.59691,0,0,0,0.901266,0.816749,1.66105,0,0,0,0.30848,0.233283,1.69277,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534344,-0.248258,1.54351,0,0,0
0.723506,1.72945,1.73671,0,0,0.323038,0.758533,1.59615,0,0,0,0.901563,0.816814,1.65369,0,0,0,0.308472,0.233212,1.69319,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534402,-0.24826,1.54269,0,0,0
0.723515,1.72944,1.73672,0,0,0.32255,0.757937,1.59884,0,0,0,0.901645,0.816826,1.65446,0,0,0,0.308214,0.232908,1.69808,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534466,-0.248091,1.54537,0,0,0
0.723524,1.72944,1.73671,0,0,0.322597,0.757974,1.59892,0,0,0,0.901588,0.816772,1.65495,0,0,0,0.308464,0.233279,1.6925,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.533996,-0.248553,1.53963,0,0,0
0.723527,1.72944,1.73672,0,0,0.32316,0.758423,1.59582,0,0,0,0.886266,0.780671,-2.47913,0,0,0,0.308472,0.233275,1.69243,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534101,-0.248414,1.53943,0,0,0
0.7235,1.72946,1.73671,0,0,0.322987,0.758482,1.59627,0,0,0,0.901538,0.816858,1.65375,0,0,0,0.308475,0.233271,1.69234,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.533906,-0.248562,1.53456,0,0,0
0.723505,1.72945,1.73674,0,0,0.322935,0.758539,1.59531,0,0,0,0.901575,0.816767,1.65642,0,0,0,0.308478,0.23321,1.69254,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.533986,-0.248527,1.53628,0,0,0
0.723501,1.72945,1.7368,0,0,0.322958,0.758561,1.59499,0,0,0,0.901496,0.816861,1.65426,0,0,0,0.308476,0.233329,1.69175,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534334,-0.248287,1.54248,0,0,0
0.723505,1.72945,1.73678,0,0,0.322526,0.757912,1.59898,0,0,0,0.901214,0.816817,1.66062,0,0,0,0.308473,0.233324,1.69187,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534333,-0.248337,1.54329,0,0,0
0.723505,1.72947,1.73675,0,0,0.323056,0.758577,1.59573,0,0,0,0.90151,0.816975,1.65197,0,0,0,0.308306,0.233167,1.69465,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534344,-0.248281,1.54316,0,0,0
0.723503,1.72946,1.73676,0,0,0.32253,0.757929,1.59878,0,0,0,0.901632,0.816868,1.65393,0,0,0,0.308447,0.233332,1.69191,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.53447,-0.24811,1.54374,0,0,0
0.723501,1.72954,1.73672,0,0,0.322887,0.75843,1.59725,0,0,0,0.901475,0.816859,1.65523,0,0,0,0.308456,0.233359,1.69207,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.53444,-0.24823,1.54206,0,0,0
0.723494,1.72948,1.73676,0,0,0.322605,0.758036,1.59907,0,0,0,0.901238,0.817053,1.65841,0,0,0,0.30845,0.233188,1.6932,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534492,-0.248041,1.54608,0,0,0
0.723497,1.72947,1.73672,0,0,0.323067,0.75855,1.59692,0,0,0,0.901562,0.817026,1.65114,0,0,0,0.308454,0.233257,1.69264,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534015,-0.248623,1.54262,0,0,0
0.7235,1.72946,1.73673,0,0,0.322581,0.757955,1.59908,0,0,0,0.901624,0.816746,1.65667,0,0,0,0.308421,0.233249,1.69303,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534333,-0.248264,1.54275,0,0,0
0.723517,1.7295,1.73667,0,0,0.32308,0.758623,1.59767,0,0,0,0.901547,0.816962,1.65353,0,0,0,0.308434,0.233367,1.69233,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534277,-0.248278,1.54296,0,0,0
0.723513,1.72948,1.73671,0,0,0.322923,0.758393,1.59816,0,0,0,0.901202,0.816821,1.6623,0,0,0,0.308443,0.233289,1.69276,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534077,-0.248426,1.53891,0,0,0
0.723505,1.72946,1.73669,0,0,0.323068,0.758548,1.5972,0,0,0,0.901489,0.816837,1.6543,0,0,0,0.308423,0.233262,1.69288,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534399,-0.248222,1.54276,0,0,0
0.723504,1.72945,1.73672,0,0,0.322544,0.757986,1.59895,0,0,0,0.901106,0.816918,1.65924,0,0,0,0.30809,0.232952,1.69889,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.53434,-0.24822,1.54228,0,0,0
0.723501,1.72946,1.73672,0,0,0.322886,0.758428,1.59653,0,0,0,0.90146,0.816832,1.65403,0,0,0,0.308462,0.233338,1.69217,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534319,-0.248173,1.54283,0,0,0
0.723495,1.72946,1.73672,0,0,0.322959,0.758483,1.59576,0,0,0,0.901218,0.81693,1.65972,0,0,0,0.308457,0.233282,1.69256,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534417,-0.248181,1.54341,0,0,0
0.723488,1.72945,1.73673,0,0,0.323088,0.758492,1.59705,0,0,0,0.901507,0.816822,1.65358,0,0,0,0.308453,0.233342,1.69192,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534287,-0.248306,1.54371,0,0,0
0.723455,1.72948,1.73676,0,0,0.322415,0.757929,1.59835,0,0,0,0.901665,0.816917,1.65524,0,0,0,0.308415,0.233241,1.69326,0,0,0,0.948844,0.338003,1.60953,0,0,0,0.534112,-0.248475,1.53836,0,0,0
