leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
-0.380934,1.11604,-3.10201,100000,100000,0.398632,0.808678,2.81404,0,0,0,0.256342,0.626308,0.0416081,0,0,0,0.195975,0.498696,1.35944,0,0,0,0.347989,0.389451,-3.12632,0,0,0,0.180704,0.79735,0.0909724,0,0,0
-0.380932,1.11604,-3.10202,100000,100000,0.398517,0.8087,2.81477,0,0,0,0.256337,0.626303,0.0426066,0,0,0,0.196187,0.498629,1.36005,0,0,0,0.347829,0.389249,-3.12654,0,0,0,0.180747,0.797321,0.090824,0,0,0
-0.380932,1.11604,-3.10202,100000,100000,0.398474,0.808787,2.81517,0,0,0,0.256381,0.626338,0.043123,0,0,0,0.19605,0.498687,1.35857,0,0,0,0.347857,0.389254,-3.12752,0,0,0,0.180718,0.797319,0.0908786,0,0,0
-0.380936,1.11604,-3.10201,0,0,0.398486,0.808767,2.815,0,0,0,0.256426,0.626305,0.0429147,0,0,0,0.196119,0.498635,1.35876,0,0,0,0.347399,0.389368,-3.13225,0,0,0,0.180754,0.797277,0.090542,0,0,0
-0.380937,1.11604,-3.10201,0,0,0.398496,0.808736,2.81443,0,0,0,0.256302,0.626346,0.0423505,0,0,0,0.196039,0.498645,1.35858,0,0,0,0.347505,0.389213,-3.13244,0,0,0,0.180733,0.797271,0.0908485,0,0,0
-0.380938,1.11604,-3.10201,0,0,0.398491,0.808735,2.81418,0,0,0,0.256304,0.626314,0.0424863,0,0,0,0.196209,0.498577,1.35948,0,0,0,0.347727,0.388787,-3.13292,0,0,0,0.180753,0.797304,0.0904885,0,0,0
-0.380941,1.11604,-3.10202,0,0,0.398539,0.808663,2.81377,0,0,0,0.256383,0.626333,0.0432081,0,0,0,0.196296,0.498615,1.3601,0,0,0,0.347678,0.388705,-3.13344,0,0,0,0.18076,0.797277,0.0907342,0,0,0
