leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
1.739,-0.327176,-0.0639765,100000,100000,0.901993,-0.0684134,0.000695117,0,0,0,1.0013,-0.963075,-0.00323816,0,0,0,0.416586,-0.0787819,0.000694413,0,0,0,0.478348,-0.936543,-0.00234274,0,0,0,-0.0774775,-0.507318,0.00107367,0,0,0
1.739,-0.327171,-0.0639704,0,0,0.901993,-0.0684152,0.000639826,0,0,0,1.00097,-0.962899,-0.00560008,0,0,0,0.416586,-0.0787816,0.000710407,0,0,0,0.47838,-0.936543,-0.0021885,0,0,0,-0.0774712,-0.507325,0.00121534,0,0,0
1.739,-0.327165,-0.0639617,0,0,0.901988,-0.0684134,0.000636969,0,0,0,1.00127,-0.963141,-0.00442338,0,0,0,0.416588,-0.0787817,0.000734656,0,0,0,0.478234,-0.936568,-0.00434781,0,0,0,-0.0774641,-0.507315,0.000941503,0,0,0
1.739,-0.327165,-0.0639679,0,0,0.901988,-0.0684133,0.000638832,0,0,0,1.0013,-0.962957,-0.0022355,0,0,0,0.416588,-0.0787791,0.000699016,0,0,0,0.478414,-0.936559,-0.00110072,0,0,0,-0.0774652,-0.507333,0.00122516,0,0,0
1.739,-0.327164,-0.0639645,0,0,0.901987,-0.068417,0.000527595,0,0,0,1.00133,-0.963074,-0.00271549,0,0,0,0.416587,-0.0787778,0.000657156,0,0,0,0.478318,-0.936511,-0.00232122,0,0,0,-0.0774549,-0.507311,0.000780054,0,0,0
1.739,-0.327161,-0.0639562,0,0,0.901985,-0.0684159,0.000519892,0,0,0,1.00142,-0.962902,-0.000199606,0,0,0,0.416585,-0.0787748,0.000620157,0,0,0,0.478325,-0.936549,-0.00330428,0,0,0,-0.0774676,-0.50732,0.00112658,0,0,0
1.739,-0.327162,-0.0639576,0,0,0.901985,-0.0684155,0.000509757,0,0,0,1.00128,-0.963165,-0.00427917,0,0,0,0.416583,-0.0787706,0.000647659,0,0,0,0.478193,-0.936573,-0.00533795,0,0,0,-0.0774834,-0.507322,0.00126616,0,0,0
