leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,-1.93172e-05,-4.64552e-08,-3.79669e-07,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,-1.9552e-05,3.23943e-07,-3.70563e-06,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,-1.93105e-05,3.34554e-07,-4.06848e-06,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,-1.93136e-05,3.54048e-07,-3.7588e-06,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,-1.92553e-05,-1,-3.85738e-07,0,0,0,100000,100000,100000,0,0,0,-1.93213e-05,3.99472e-07,-3.04225e-06,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,-1.95202e-05,-1,-3.30224e-06,0,0,0,100000,100000,100000,0,0,0,-1.93261e-05,4.28123e-07,-2.59046e-06,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,-1.93105e-05,-1,-4.01753e-06,0,0,0,100000,100000,100000,0,0,0,-1.933e-05,4.51047e-07,-2.22898e-06,0,0,0,100000,100000,100000,0,0,0
1.99999,2.57994e-07,4.53455e-07,-2.37957e-05,4.27273e-07,100000,100000,100000,0,0,0,-1.93143e-05,-1,-3.68889e-06,0.699993,0.000463832,0.000148982,100000,100000,100000,0,0,0,-1.93329e-05,4.68241e-07,-1.95786e-06,0.699993,0.000562231,0.000149089,100000,100000,100000,0,0,0
