leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
1.57024,-0.171742,0.0519231,100000,100000,0.605167,0.105524,-0.101467,0,0,0,0.647838,-0.565494,-0.0449835,0,0,0,-0.0621661,0.21049,-0.0980261,0,0,0,-0.076773,-0.442753,0.101647,0,0,0,-0.651194,-0.0961724,3.07482,0,0,0
1.57024,-0.171752,0.0519339,0,0,0.605248,0.105579,-0.102011,0,0,0,0.64786,-0.565505,-0.0465587,0,0,0,-0.0621238,0.210492,-0.0974407,0,0,0,-0.0766918,-0.44282,0.103301,0,0,0,-0.651176,-0.0961562,3.07529,0,0,0
1.57024,-0.171751,0.0519338,0,0,0.60514,0.105521,-0.101668,0,0,0,0.648183,-0.565436,-0.0433416,0,0,0,-0.0621748,0.210492,-0.0979098,0,0,0,-0.0767557,-0.44282,0.102771,0,0,0,-0.651193,-0.0961496,3.07543,0,0,0
1.57023,-0.171748,0.0519207,0,0,0.605299,0.105556,-0.10252,0,0,0,0.648147,-0.565439,-0.0424368,0,0,0,-0.0621281,0.21049,-0.0973846,0,0,0,-0.0765967,-0.442776,0.102997,0,0,0,-0.651206,-0.0961439,3.07525,0,0,0
1.57023,-0.171748,0.0519126,0,0,0.605193,0.105524,-0.101246,0,0,0,0.648016,-0.565463,-0.0442754,0,0,0,-0.0621631,0.210484,-0.0980019,0,0,0,-0.0767824,-0.442762,0.101829,0,0,0,-0.651201,-0.0961422,3.07529,0,0,0
1.57023,-0.171746,0.0519059,0,0,0.605195,0.105553,-0.101585,0,0,0,0.648093,-0.565446,-0.0447022,0,0,0,-0.0621195,0.210488,-0.0974105,0,0,0,-0.0766287,-0.442733,0.103602,0,0,0,-0.651195,-0.0961621,3.07507,0,0,0
1.57023,-0.171745,0.0519067,0,0,0.605142,0.105523,-0.101421,0,0,0,0.648036,-0.565433,-0.0445424,0,0,0,-0.0621642,0.210492,-0.0980143,0,0,0,-0.0767091,-0.442754,0.10214,0,0,0,-0.651194,-0.0961714,3.075,0,0,0
