leader_x,leader_y,leader_theta,leader_vel_linear,leader_vel_angular,sensor_1_x,sensor_1_y,sensor_1_theta,estimated_x,estimated_y,estimated_theta,sensor_2_x,sensor_2_y,sensor_2_theta,estimated_x,estimated_y,estimated_theta,sensor_3_x,sensor_3_y,sensor_3_theta,estimated_x,estimated_y,estimated_theta,sensor_4_x,sensor_4_y,sensor_4_theta,estimated_x,estimated_y,estimated_theta,sensor_5_x,sensor_5_y,sensor_5_theta,estimated_x,estimated_y,estimated_theta
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
100000,100000,100000,100000,100000,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0,100000,100000,100000,0,0,0
-0.170725,0.896642,-3.05606,100000,100000,0.785105,0.968585,2.03319,0,0,0,0.897875,0.265669,-2.27177,0,0,0,-0.278892,-0.946234,-2.07286,0,0,0,1.96476,1.17528,-2.33687,0,0,0,2.48354,0.890469,3.04163,0,0,0
-0.170728,0.896642,-3.05607,0,0,0.785073,0.968593,2.03383,0,0,0,0.897877,0.265671,-2.27179,0,0,0,-0.278916,-0.946263,-2.07293,0,0,0,1.96491,1.17541,-2.3395,0,0,0,2.48349,0.890413,3.04,0,0,0
-0.17073,0.896643,-3.05608,0,0,0.785056,0.968605,2.03401,0,0,0,0.897883,0.265667,-2.27184,0,0,0,-0.278993,-0.946276,-2.07414,0,0,0,1.96481,1.17533,-2.33798,0,0,0,2.48347,0.890474,3.04365,0,0,0
-0.17073,0.896643,-3.05609,0,0,0.785072,0.968572,2.03409,0,0,0,0.897881,0.26567,-2.2718,0,0,0,-0.279038,-0.946322,-2.07497,0,0,0,1.96486,1.17534,-2.3385,0,0,0,2.48356,0.890471,3.04234,0,0,0
-0.170726,0.896644,-3.05608,0,0,0.785108,0.968573,2.03333,0,0,0,0.897883,0.265671,-2.27181,0,0,0,-0.278893,-0.946259,-2.07343,0,0,0,1.96462,1.17517,-2.33434,0,0,0,2.48355,0.890452,3.04154,0,0,0
-0.170728,0.896643,-3.05607,0,0,0.785104,0.968582,2.03332,0,0,0,0.897884,0.265671,-2.27183,0,0,0,-0.278941,-0.946248,-2.07383,0,0,0,1.9649,1.1754,-2.33917,0,0,0,2.48362,0.890627,3.03912,0,0,0
-0.170729,0.896639,-3.05605,0,0,0.785081,0.96859,2.03363,0,0,0,0.89789,0.265668,-2.27186,0,0,0,-0.278951,-0.946281,-2.07423,0,0,0,1.96478,1.17529,-2.33704,0,0,0,2.48354,0.890491,3.0415,0,0,0
-0.17073,0.896638,-3.05605,0,0,0.785072,0.968554,2.03382,0,0,0,0.897882,0.265665,-2.27177,0,0,0,-0.278758,-0.946491,-2.07278,0,0,0,1.96484,1.17536,-2.33788,0,0,0,2.48356,0.890444,3.04095,0,0,0
